,Start,7,,End,1042,,,0,,,,,,,,,,,
Click Apply to to display data from Start to End,,,,,,FALSE,,,,,,,,,,,,,
HELP,,,,,,RECALC,,,,,,,,,,,,,
,,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,,,,,
Select data to graph,,,,,,"AUTO 
ZERO",TRUE,,,,,,,,,,,,
cid,syncdate,dwatts,nwatts,watts,cr,,,,,,,,dwatts,nwatts,,cr,,,
3,41164.17,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41164.21,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41164.25,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41164.29,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41164.33,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41164.38,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41164.42,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41164.46,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41164.50,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41167.13,0.01,0,0,-0.11,,,,,,,,0,0,#N/A,-0.11,,,
3,41167.21,0.01,0,0,-0.11,,,,,,,,0,0,#N/A,-0.11,,,
3,41167.25,12.7,0,8.73,246.46,,,,,,,,12.69,0,#N/A,246.46,,,
3,41167.26,14.1,0,0,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.29,14.1,0,0,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.33,14.1,0,0,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.38,14.1,0,0,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.41,14.1,0,0,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.42,14.1,0,0,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.46,14.1,0,0,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.50,14.1,0,0.21,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.53,14.1,0,0,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.54,14.1,0,0,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.58,14.1,0,0,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.63,14.1,0,0,246.07,,,,,,,,14.09,0,#N/A,246.07,,,
3,41167.67,16.28,0,12.36,245.47,,,,,,,,16.27,0,#N/A,245.47,,,
3,41167.71,33.11,16.83,18.28,238.61,,,,,,,,33.1,16.83,#N/A,238.61,,,
3,41167.75,49.71,33.43,30.42,231.59,,,,,,,,49.7,33.43,#N/A,231.59,,,
